year,day_of_year,station_number,air_temp_max,air_temp_min,air_temp_mean,rh_max,rh_min,rh_mean,vpd_mean,solar_rad_total,precip_total,4_in_soil_temp_max,4_in_soil_temp_min,4_in_soil_temp_mean,20_in_soil_temp_max,20_in_soil_temp_min,20_in_soil_temp_mean,wind_speed_mean,wind_vector_magnitude,wind_vector_direction,wind_direction_std,max_wind_speed,heat_units,eto_azmet,eto_p_m,vapor_pressure_mean,dewpoint_mean,date,daily_gdd,gdd
2017,110,6,33.3,14.1,23.5,45.0,5.1,18.2,2.63,28.67,0.0,30.9,20.6,25.5,23.3,22.9,23.1,1.9,0.8,233,60,8.2,10.3,8.0,6.8,0.47,-3.7,2017-04-20,13.7,14.0
2017,111,6,34.4,11.1,24.0,46.5,5.5,17.2,2.82,29.0,0.0,30.8,20.3,25.4,23.4,23.0,23.2,2.2,1.3,274,52,8.5,9.4,8.5,7.4,0.43,-4.9,2017-04-21,12.75,26.0
2017,112,6,35.5,14.5,25.0,32.5,6.4,15.6,2.95,28.95,0.0,32.1,21.2,26.4,23.6,23.2,23.4,1.6,0.5,178,66,5.2,11.0,8.0,6.7,0.45,-4.2,2017-04-22,15.0,41.0
2017,113,6,37.0,12.6,26.5,48.0,6.8,17.5,3.25,27.4,0.0,32.6,21.8,26.9,24.0,23.5,23.7,2.1,1.1,221,57,8.2,10.3,8.3,7.5,0.52,-2.2,2017-04-23,14.8,56.0
2017,114,6,33.7,14.9,25.7,33.1,8.3,17.5,2.89,23.64,0.0,30.3,22.4,26.3,24.2,23.9,24.0,3.0,2.0,214,46,9.9,10.8,8.0,7.8,0.55,-1.7,2017-04-24,14.3,71.0
2017,115,6,29.4,17.2,23.7,51.9,10.7,26.6,2.23,25.61,0.0,28.9,22.4,25.4,24.2,23.8,24.0,4.0,3.3,255,34,10.2,10.5,8.4,8.0,0.75,2.3,2017-04-25,13.299999999999997,84.0
2017,116,6,31.5,14.7,24.1,31.2,8.6,16.8,2.64,28.27,0.0,30.6,21.1,25.8,24.0,23.6,23.8,2.4,1.5,271,48,8.3,10.1,8.3,7.2,0.47,-3.5,2017-04-26,13.100000000000001,97.0
2017,117,6,32.1,16.6,25.1,40.6,15.5,24.1,2.55,24.91,0.0,31.0,22.1,25.8,27.5,23.9,25.4,2.6,1.6,237,50,8.9,11.2,7.6,7.1,0.76,2.8,2017-04-27,14.350000000000001,111.0
2017,118,6,29.4,16.0,23.4,53.7,6.2,26.4,2.17,21.1,0.0,22.8,16.8,21.0,26.0,23.8,24.7,4.5,2.8,284,49,13.9,9.9,7.8,7.9,0.75,0.5,2017-04-28,12.7,124.0
2017,119,6,26.3,10.9,19.5,27.0,9.5,16.4,1.99,29.92,0.0,25.2,14.3,19.5,23.8,22.1,22.7,4.3,3.3,301,38,11.1,6.1,9.2,8.2,0.36,-7.1,2017-04-29,8.600000000000001,133.0
2017,120,6,30.2,8.9,20.7,63.9,6.7,21.3,2.17,29.91,0.0,28.9,16.9,22.6,22.3,21.8,22.1,1.7,0.4,261,70,6.5,7.5,7.6,6.3,0.44,-4.5,2017-04-30,9.55,142.0
2017,121,6,33.8,11.0,23.2,46.7,6.3,17.6,2.63,30.03,0.0,30.8,18.7,24.5,22.7,22.2,22.4,1.5,0.4,170,71,6.0,9.2,7.9,6.6,0.45,-4.4,2017-05-01,12.399999999999999,155.0
2017,122,6,35.8,15.0,25.9,47.5,7.9,17.0,3.05,29.0,0.0,31.1,20.6,25.6,23.3,22.7,23.0,2.6,1.6,198,51,8.4,11.3,8.8,8.2,0.52,-2.3,2017-05-02,15.399999999999999,170.0
2017,123,6,37.3,14.9,27.8,50.0,7.8,17.6,3.37,29.51,0.0,32.8,22.0,27.2,23.9,23.3,23.5,1.7,0.2,190,77,8.3,11.5,8.5,7.2,0.6,-0.4,2017-05-03,16.099999999999998,186.0
2017,124,6,39.0,16.6,28.9,44.1,7.8,18.3,3.6,29.57,0.0,35.7,23.1,28.6,32.8,23.9,27.2,1.6,0.3,148,72,6.0,12.5,8.5,7.2,0.66,1.1,2017-05-04,17.8,204.0
2017,125,6,41.1,15.9,30.4,66.9,7.0,20.2,3.98,28.97,0.0,28.5,22.1,25.2,27.6,25.2,26.0,2.7,1.1,194,63,9.5,12.4,9.7,9.3,0.73,2.3,2017-05-05,18.5,222.0
2017,126,6,35.7,19.3,27.9,38.6,9.8,20.1,3.16,28.98,0.0,29.4,20.9,25.1,25.2,24.3,24.7,5.9,5.4,189,24,14.7,13.3,11.9,11.8,0.72,2.1,2017-05-06,17.5,240.0
2017,127,6,22.6,14.4,18.7,66.2,22.5,38.2,1.37,19.98,0.0,25.9,21.0,23.2,24.6,23.9,24.3,3.2,2.6,249,35,8.3,5.7,5.3,5.4,0.8,3.3,2017-05-07,8.5,248.0
2017,128,6,26.1,11.6,18.8,79.7,20.5,36.8,1.47,23.13,0.25,28.3,19.1,23.2,23.9,23.3,23.6,2.7,2.3,217,31,12.9,6.2,6.0,5.8,0.77,2.9,2017-05-08,8.850000000000001,257.0
2017,129,6,23.7,10.9,17.5,94.4,25.0,56.0,1.01,28.47,0.25,28.2,19.3,23.3,23.5,23.0,23.3,2.8,2.1,169,39,7.9,4.8,6.4,5.5,1.04,7.2,2017-05-09,7.300000000000001,265.0
2017,130,6,26.2,12.0,19.5,73.5,22.0,44.3,1.39,26.54,0.0,28.1,19.8,24.0,23.3,23.0,23.2,2.0,0.8,220,64,6.7,6.4,6.1,5.5,0.94,5.9,2017-05-10,9.100000000000001,274.0
2017,131,6,32.3,12.3,23.2,74.5,19.0,38.3,2.02,29.54,0.0,32.7,20.2,25.7,29.2,23.2,25.2,1.5,0.6,223,65,6.1,9.3,7.3,6.2,1.0,7.0,2017-05-11,12.299999999999997,286.0
2017,132,6,35.9,18.9,27.6,51.0,12.6,27.3,2.95,29.3,0.0,28.0,20.7,24.5,25.9,24.1,24.6,2.0,1.0,185,58,7.4,13.1,8.3,7.5,0.93,5.9,2017-05-12,17.4,303.0
2017,133,6,36.7,17.4,27.4,38.9,8.6,21.1,3.15,30.34,0.0,29.4,19.2,24.1,24.1,23.5,23.8,3.7,3.0,190,36,10.6,12.5,10.4,10.0,0.7,1.8,2017-05-13,17.05,320.0
2017,134,6,33.8,17.4,25.9,40.3,12.8,22.5,2.74,23.71,0.0,28.5,20.7,24.5,23.9,23.5,23.7,4.1,3.4,184,34,11.4,12.0,8.6,9.0,0.73,2.4,2017-05-14,15.599999999999998,336.0
2017,135,6,30.7,16.4,23.4,38.3,8.0,23.1,2.35,30.35,0.0,28.6,20.9,24.7,23.9,23.6,23.7,5.0,4.3,195,32,13.9,10.7,10.8,9.8,0.62,0.1,2017-05-15,13.549999999999997,350.0
2017,136,6,25.3,11.5,19.3,49.3,12.7,27.5,1.7,29.71,0.0,28.6,20.0,24.2,23.9,23.5,23.7,2.9,2.4,244,33,9.3,5.8,7.8,6.7,0.59,-0.6,2017-05-16,8.399999999999999,358.0
2017,137,6,30.3,13.3,21.6,46.1,12.8,29.0,2.02,29.93,0.0,30.8,19.8,25.1,23.8,23.4,23.6,2.9,1.8,207,49,8.4,9.0,8.1,7.6,0.7,1.9,2017-05-17,11.8,370.0
2017,138,6,30.0,14.9,23.3,49.4,7.7,20.8,2.4,30.59,0.0,30.3,21.1,25.3,26.0,23.8,24.5,2.7,2.0,280,40,10.9,9.7,8.9,7.6,0.55,-2.2,2017-05-18,12.45,382.0
2017,139,6,29.9,13.9,22.0,43.6,9.2,23.1,2.18,30.89,0.0,24.9,17.0,20.9,24.9,23.3,23.9,3.0,2.1,325,46,10.1,9.2,8.5,7.9,0.56,-1.5,2017-05-19,11.899999999999999,394.0
2017,140,6,34.0,11.2,24.2,51.8,8.0,20.2,2.75,31.01,0.0,28.5,16.7,22.4,23.3,22.5,22.8,1.9,0.7,350,64,7.8,9.2,8.7,7.3,0.53,-2.0,2017-05-20,12.600000000000001,407.0
2017,141,6,37.9,13.7,27.1,47.0,6.6,18.3,3.36,31.14,0.0,32.6,19.7,26.0,23.5,22.8,23.0,1.5,0.1,204,80,6.9,11.0,8.7,7.3,0.56,-1.3,2017-05-21,15.799999999999997,422.0
2017,142,6,39.4,15.3,29.4,50.4,6.1,15.6,3.82,30.57,0.0,34.4,22.3,28.2,24.5,23.5,23.9,1.8,0.6,205,66,6.1,12.0,9.0,7.9,0.57,-1.1,2017-05-22,17.35,440.0
2017,143,6,40.3,21.1,31.3,28.3,5.0,12.8,4.27,31.11,0.0,35.6,24.5,29.8,25.4,24.5,24.9,1.7,0.6,304,64,6.5,14.5,9.3,7.8,0.54,-1.9,2017-05-23,20.7,461.0
2017,144,6,42.1,21.8,32.0,22.3,5.9,12.8,4.49,29.79,0.0,35.7,24.9,30.1,26.0,25.4,25.6,3.0,1.9,208,49,9.4,14.9,10.3,10.2,0.56,-1.1,2017-05-24,21.950000000000003,482.0
2017,145,6,38.0,23.0,30.4,21.3,4.7,11.8,4.0,28.48,0.0,30.9,22.4,27.4,27.9,26.0,26.8,3.9,3.3,207,32,10.9,15.1,10.7,10.7,0.47,-3.6,2017-05-25,20.5,503.0
2017,146,6,35.6,20.6,28.0,24.7,7.0,15.6,3.34,31.33,0.0,26.0,18.9,22.5,27.0,24.9,25.8,3.9,3.1,189,37,10.2,13.8,10.7,10.4,0.55,-1.4,2017-05-26,18.1,521.0
2017,147,6,35.7,14.8,26.2,32.0,7.8,16.6,3.09,31.18,0.0,32.2,19.0,25.4,24.9,24.2,24.5,1.9,0.2,168,78,6.8,11.2,8.8,7.6,0.52,-2.1,2017-05-27,15.25,536.0
2017,148,6,38.1,18.0,28.3,34.8,5.3,16.0,3.6,31.0,0.0,34.1,22.0,27.9,25.2,24.6,24.8,1.5,0.8,193,55,6.1,13.0,8.8,7.3,0.54,-2.0,2017-05-28,18.05,554.0
2017,149,6,39.5,15.4,29.4,48.9,5.2,14.4,3.91,27.3,0.0,33.8,23.3,28.6,25.7,25.2,25.4,1.9,0.7,181,63,5.5,12.0,8.4,7.7,0.51,-2.7,2017-05-29,17.45,572.0
2017,150,6,38.8,18.1,29.6,37.0,7.3,17.5,3.7,26.87,0.0,34.4,24.5,29.3,26.1,25.7,25.9,2.0,0.6,175,67,8.3,13.1,8.1,7.7,0.67,1.2,2017-05-30,18.45,590.0
2017,151,6,38.6,17.8,29.5,58.8,9.2,24.6,3.45,28.19,0.0,35.4,25.3,30.1,26.6,26.1,26.3,2.3,1.4,232,51,7.9,13.0,8.7,8.2,0.88,4.8,2017-05-31,18.200000000000003,608.0
2017,152,6,36.9,20.8,29.2,45.8,7.8,20.6,3.43,29.94,0.0,33.8,24.6,29.0,29.5,26.6,27.6,2.4,1.5,226,49,7.7,14.1,9.2,8.5,0.77,3.1,2017-06-01,18.85,627.0
2017,153,6,38.2,18.1,29.6,54.4,9.8,24.9,3.45,30.42,0.0,29.9,21.7,25.7,28.6,26.5,27.2,1.9,1.2,219,50,6.5,13.0,8.7,7.9,0.9,5.3,2017-06-02,18.150000000000002,645.0
2017,154,6,41.3,22.3,32.9,30.6,8.1,16.6,4.42,30.48,0.0,34.2,21.4,27.5,26.6,25.8,26.2,2.7,1.7,234,50,8.8,15.0,10.0,9.7,0.78,3.3,2017-06-03,21.799999999999997,667.0
2017,155,6,41.2,23.3,33.7,26.4,8.8,14.9,4.69,30.58,0.0,36.3,25.6,30.8,27.0,26.2,26.5,2.9,2.0,234,45,6.7,15.4,10.4,10.0,0.74,2.7,2017-06-04,22.25,690.0
2017,156,6,41.5,23.6,34.1,28.5,9.3,15.5,4.76,30.35,0.0,36.9,27.1,31.9,27.7,27.0,27.3,3.1,2.1,237,45,7.2,15.6,10.6,10.2,0.79,3.5,2017-06-05,22.549999999999997,712.0
2017,157,6,41.8,23.6,33.4,34.0,9.6,16.9,4.53,30.4,0.0,38.3,27.9,32.9,28.4,27.7,28.0,2.5,1.4,239,53,6.7,15.6,9.9,9.4,0.81,3.8,2017-06-06,22.700000000000003,735.0
2017,158,6,41.2,23.6,32.6,29.2,7.8,16.6,4.34,30.46,0.0,38.4,28.5,33.2,28.9,28.4,28.6,2.3,1.1,232,60,9.3,15.5,9.7,9.1,0.77,3.0,2017-06-07,22.400000000000006,757.0
2017,159,6,40.5,19.5,31.5,42.7,7.2,14.8,4.22,29.15,0.0,35.8,27.4,30.7,33.3,28.9,30.4,1.9,0.9,271,60,8.6,13.9,9.2,8.1,0.63,0.3,2017-06-08,20.0,777.0
2017,160,6,40.8,21.9,32.4,35.4,8.2,16.0,4.39,30.79,0.0,30.9,23.5,27.0,30.5,28.5,29.3,2.4,1.4,242,53,8.6,14.9,10.0,9.2,0.71,2.1,2017-06-09,21.349999999999998,799.0
2017,161,6,39.6,19.9,30.4,32.0,5.4,16.2,3.93,30.93,0.0,34.2,22.0,28.0,28.5,27.4,27.9,2.7,2.2,194,34,6.3,13.9,9.9,9.5,0.64,0.3,2017-06-10,19.75,818.0
2017,162,6,38.2,20.4,29.7,42.0,10.7,19.9,3.59,30.99,0.0,33.7,24.8,29.1,27.9,27.5,27.7,4.8,4.3,184,26,10.6,14.1,11.9,11.8,0.77,3.1,2017-06-11,19.3,838.0
2017,163,6,34.0,17.6,26.7,37.0,8.6,20.3,2.95,31.49,0.0,34.9,24.9,29.7,27.9,27.5,27.7,2.6,1.7,242,48,7.6,12.2,9.4,8.4,0.68,0.9,2017-06-12,15.8,853.0
2017,164,6,35.8,14.9,26.1,29.2,4.0,13.0,3.21,32.59,0.0,35.4,24.2,29.7,28.0,27.5,27.8,1.6,0.2,189,76,6.2,11.2,9.0,7.5,0.38,-6.3,2017-06-13,15.349999999999998,869.0
2017,165,6,39.7,14.4,27.9,42.6,2.6,12.6,3.74,32.75,0.0,36.1,24.2,30.0,28.0,27.5,27.8,1.5,0.3,182,73,5.2,11.6,9.3,7.9,0.39,-6.2,2017-06-14,17.05,886.0
2017,166,6,41.4,16.0,30.1,37.9,2.7,11.2,4.27,32.7,0.0,37.1,25.2,31.0,28.2,27.8,28.0,1.8,0.5,182,68,5.5,12.5,9.8,8.5,0.4,-5.9,2017-06-15,18.7,904.0
2017,167,6,42.5,16.6,31.8,38.5,3.2,11.3,4.63,32.36,0.0,37.4,26.3,31.8,28.6,28.1,28.3,2.2,1.2,213,56,6.7,12.9,10.2,9.4,0.46,-4.0,2017-06-16,19.55,924.0
2017,168,6,42.8,21.6,33.3,30.7,4.1,10.7,4.91,31.7,0.0,38.0,27.4,32.6,29.0,28.5,28.7,2.5,1.4,225,54,6.8,14.9,10.4,9.7,0.49,-3.0,2017-06-17,22.200000000000003,946.0
2017,169,6,44.2,22.8,34.7,28.3,5.4,12.2,5.24,30.54,0.0,38.3,28.3,33.2,29.4,29.0,29.1,2.7,1.7,222,48,7.4,15.4,10.5,10.2,0.61,0.0,2017-06-18,23.5,970.0
2017,170,6,47.5,26.1,36.9,27.4,5.8,11.5,5.93,30.28,0.0,40.1,29.5,34.6,30.0,29.4,29.6,2.2,0.8,222,65,5.8,16.5,10.3,9.8,0.68,1.4,2017-06-19,26.799999999999997,996.0
2017,171,6,48.0,25.3,37.8,30.1,5.5,12.6,6.21,28.37,0.0,40.5,30.4,35.3,30.6,30.0,30.2,1.9,0.9,207,58,6.3,16.3,9.5,8.9,0.75,2.8,2017-06-20,26.65,1023.0
2017,172,6,46.8,26.9,38.2,31.9,8.1,15.9,6.01,29.95,0.0,40.2,31.6,35.9,31.1,30.5,30.8,3.0,2.4,237,36,8.7,16.7,11.2,11.1,0.99,6.7,2017-06-21,26.849999999999994,1050.0
2017,173,6,44.2,27.1,36.4,37.6,10.4,21.7,5.08,30.05,0.0,40.8,31.6,36.1,31.5,31.1,31.2,3.3,2.1,244,50,8.7,16.8,10.7,11.0,1.24,10.0,2017-06-22,25.650000000000006,1076.0
2017,174,6,43.8,25.6,36.0,48.9,10.7,23.7,4.89,30.03,0.0,36.5,28.8,33.3,33.5,31.5,32.3,2.9,2.2,246,40,7.6,16.3,10.4,10.2,1.28,10.3,2017-06-23,24.700000000000003,1100.0
2017,175,6,46.7,26.3,37.1,36.4,6.0,17.2,5.65,30.0,0.0,32.6,25.8,29.0,32.4,30.4,31.2,2.3,1.5,234,48,7.1,16.6,10.2,9.8,0.98,6.4,2017-06-24,26.5,1127.0
2017,176,6,45.9,28.5,38.7,42.3,8.4,16.2,6.03,28.98,0.0,37.7,26.3,31.6,30.4,29.6,29.9,3.3,1.0,204,67,10.2,17.1,11.1,11.2,1.05,7.5,2017-06-25,27.200000000000003,1154.0
2017,177,6,43.9,28.8,36.6,38.7,9.0,21.7,5.02,29.7,0.0,39.9,29.7,34.6,30.7,30.0,30.3,2.5,0.9,220,64,8.4,17.1,9.9,9.6,1.27,10.2,2017-06-26,26.35,1180.0
2017,178,6,42.5,25.1,35.4,30.2,6.0,13.6,5.24,31.25,0.0,38.5,30.1,34.2,31.0,30.7,30.9,3.1,2.4,240,38,9.1,16.1,11.5,10.7,0.72,1.9,2017-06-27,23.799999999999997,1204.0
2017,179,6,42.8,23.0,33.7,40.6,8.6,21.6,4.41,29.67,0.0,39.2,29.3,34.0,31.2,30.8,31.0,2.7,1.5,201,54,7.4,15.4,9.8,9.7,1.06,7.6,2017-06-28,22.9,1227.0
2017,180,6,42.1,23.3,33.4,41.6,9.2,20.1,4.45,30.74,0.0,37.3,29.1,32.6,33.0,31.1,31.7,2.2,0.9,189,61,5.8,15.5,9.6,9.0,0.94,5.9,2017-06-29,22.700000000000003,1250.0
2017,181,6,41.0,24.0,32.5,26.8,4.5,13.0,4.51,31.54,0.0,31.2,23.7,27.9,32.1,30.0,30.9,2.2,1.6,171,43,5.8,15.6,9.9,8.9,0.59,-0.7,2017-06-30,22.5,1272.0
2017,182,6,44.3,23.8,34.2,27.1,3.1,11.4,5.14,31.12,0.0,36.0,23.1,29.5,30.1,29.1,29.5,2.6,1.7,191,47,6.7,15.7,10.5,10.0,0.55,-1.8,2017-07-01,24.049999999999997,1296.0
2017,183,6,43.0,23.8,34.8,33.7,9.3,14.3,5.01,29.78,0.0,37.3,27.0,32.0,29.9,29.4,29.6,3.1,1.8,196,52,9.5,15.6,10.8,10.5,0.79,3.2,2017-07-02,23.4,1320.0
